[7823, 8211] 102
[23411, 1592] 732
[23994, 1592] 858
[27316, 1592] 1022
[27411, 1592] 980
[27395, 1592] 984
[25182, 1592] 938
[25498, 1592] 1010
[27376, 1592] 942
[24027, 1592] 882
[26039, 1592] 922
[23295, 1592] 836
[24131, 1592] 832
[20079, 1592] 630
[21061, 1592] 764
[20745, 1592] 808
[20627, 1592] 818
[21300, 1592] 794
[18954, 1592] 590
[19484, 1592] 612
[20156, 1592] 678
[28378, 1592] 1042
[28619, 1592] 1142
[30162, 1592] 1252
[32062, 1592] 1266
[30155, 1592] 1254
[30329, 1592] 1144
[32020, 1592] 1166
[31998, 1592] 1118
[32202, 1592] 1262
[32746, 1592] 1710
[10688, 1813] 370
[8169, 1813] 258
[10635, 1813] 474
[10417, 1813] 470
[8236, 1813] 280
[6205, 1813] 180
[6686, 1813] 152
[3527, 1813] 94
[8210, 1813] 266
[16230, 1813] 464
[8643, 1813] 282
[10955, 1813] 732
[11356, 1813] 706
[12593, 1813] 686
[13107, 1813] 682
[16008, 1813] 646
[12670, 1813] 654
[11407, 1813] 706
[11087, 1813] 738
[15365, 1813] 644
[13420, 1813] 654
[14140, 1813] 512
[17207, 1813] 472
[15728, 1813] 666
[18089, 1813] 846
[17812, 1813] 758
[20006, 1813] 888
[18703, 1813] 774
[18458, 1813] 848
[19155, 1813] 882
[19039, 1813] 578
[20436, 1813] 794
[27386, 1813] 948
[21116, 1813] 910
[24352, 1813] 952
[23742, 1813] 950
[20848, 1813] 608
[23411, 1813] 734
[23994, 1813] 860
[27316, 1813] 1024
[27411, 1813] 982
[27395, 1813] 986
[25182, 1813] 940
[25498, 1813] 1012
[27376, 1813] 944
[24027, 1813] 884
[26039, 1813] 924
[23295, 1813] 838
[24131, 1813] 834
[20079, 1813] 632
[21061, 1813] 766
[20745, 1813] 792
[20627, 1813] 802
[21300, 1813] 796
[18954, 1813] 592
[19484, 1813] 614
[20156, 1813] 680
[28378, 1813] 1044
[28619, 1813] 1126
[30162, 1813] 1254
[32062, 1813] 1268
[30155, 1813] 1256
[30329, 1813] 1146
[32020, 1813] 1168
[31998, 1813] 1120
[32202, 1813] 1264
[32746, 1813] 1694
[8169, 10688] 148
[10635, 10688] 148
[10417, 10688] 144
[8236, 10688] 158
[6205, 10688] 234
[6686, 10688] 242
[3527, 10688] 300
[8210, 10688] 152
[16230, 10688] 134
[8643, 10688] 128
[10955, 10688] 402
[11356, 10688] 376
[12593, 10688] 356
[13107, 10688] 352
[16008, 10688] 316
[12670, 10688] 324
[11407, 10688] 376
[11087, 10688] 408
[15365, 10688] 314
[13420, 10688] 324
[14140, 10688] 182
[17207, 10688] 142
[15728, 10688] 336
[18089, 10688] 654
[17812, 10688] 454
[20006, 10688] 588
[18703, 10688] 474
[18458, 10688] 628
[19155, 10688] 578
[19039, 10688] 248
[20436, 10688] 490
[27386, 10688] 618
[21116, 10688] 606
[24352, 10688] 648
[23742, 10688] 646
[20848, 10688] 278
[23411, 10688] 404
[23994, 10688] 530
[27316, 10688] 694
[27411, 10688] 652
[27395, 10688] 656
[25182, 10688] 610
[25498, 10688] 682
[27376, 10688] 614
[24027, 10688] 554
[26039, 10688] 594
[23295, 10688] 508
[24131, 10688] 504
[20079, 10688] 302
[21061, 10688] 436
[20745, 10688] 488
[20627, 10688] 498
[21300, 10688] 466
[18954, 10688] 262
[19484, 10688] 284
[20156, 10688] 350
[28378, 10688] 714
[28619, 10688] 822
[30162, 10688] 924
[32062, 10688] 938
[30155, 10688] 926
[30329, 10688] 816
[32020, 10688] 838
[31998, 10688] 790
[32202, 10688] 934
[32746, 10688] 1390
[10635, 8169] 252
[10417, 8169] 248
[8236, 8169] 70
[6205, 8169] 122
[6686, 8169] 130
[3527, 8169] 188
[8210, 8169] 32
[16230, 8169] 242
[8643, 8169] 60
[10955, 8169] 510
[11356, 8169] 484
[12593, 8169] 464
[13107, 8169] 460
[16008, 8169] 424
[12670, 8169] 432
[11407, 8169] 484
[11087, 8169] 516
[15365, 8169] 422
[13420, 8169] 432
[14140, 8169] 290
[17207, 8169] 250
[15728, 8169] 444
[18089, 8169] 666
[17812, 8169] 562
[20006, 8169] 696
[18703, 8169] 582
[18458, 8169] 668
[19155, 8169] 686
[19039, 8169] 356
[20436, 8169] 598
[27386, 8169] 726
[21116, 8169] 714
[24352, 8169] 756
[23742, 8169] 754
[20848, 8169] 386
[23411, 8169] 512
[23994, 8169] 638
[27316, 8169] 802
[27411, 8169] 760
[27395, 8169] 764
[25182, 8169] 718
[25498, 8169] 790
[27376, 8169] 722
[24027, 8169] 662
[26039, 8169] 702
[23295, 8169] 616
[24131, 8169] 612
[20079, 8169] 410
[21061, 8169] 544
[20745, 8169] 596
[20627, 8169] 606
[21300, 8169] 574
[18954, 8169] 370
[19484, 8169] 392
[20156, 8169] 458
[28378, 8169] 822
[28619, 8169] 930
[30162, 8169] 1032
[32062, 8169] 1046
[30155, 8169] 1034
[30329, 8169] 924
[32020, 8169] 946
[31998, 8169] 898
[32202, 8169] 1042
[32746, 8169] 1498
[10417, 10635] 36
[8236, 10635] 262
[6205, 10635] 338
[6686, 10635] 346
[3527, 10635] 404
[8210, 10635] 256
[16230, 10635] 170
[8643, 10635] 232
[10955, 10635] 438
[11356, 10635] 412
[12593, 10635] 392
[13107, 10635] 388
[16008, 10635] 352
[12670, 10635] 360
[11407, 10635] 412
[11087, 10635] 444
[15365, 10635] 350
[13420, 10635] 360
[14140, 10635] 218
[17207, 10635] 178
[15728, 10635] 372
[18089, 10635] 690
[17812, 10635] 490
[20006, 10635] 624
[18703, 10635] 510
[18458, 10635] 664
[19155, 10635] 614
[19039, 10635] 284
[20436, 10635] 526
[27386, 10635] 654
[21116, 10635] 642
[24352, 10635] 684
[23742, 10635] 682
[20848, 10635] 314
[23411, 10635] 440
[23994, 10635] 566
[27316, 10635] 730
[27411, 10635] 688
[27395, 10635] 692
[25182, 10635] 646
[25498, 10635] 718
[27376, 10635] 650
[24027, 10635] 590
[26039, 10635] 630
[23295, 10635] 544
[24131, 10635] 540
[20079, 10635] 338
[21061, 10635] 472
[20745, 10635] 524
[20627, 10635] 534
[21300, 10635] 502
[18954, 10635] 298
[19484, 10635] 320
[20156, 10635] 386
[28378, 10635] 750
[28619, 10635] 858
[30162, 10635] 960
[32062, 10635] 974
[30155, 10635] 962
[30329, 10635] 852
[32020, 10635] 874
[31998, 10635] 826
[32202, 10635] 970
[32746, 10635] 1426
[8236, 10417] 258
[6205, 10417] 334
[6686, 10417] 342
[3527, 10417] 400
[8210, 10417] 252
[16230, 10417] 166
[8643, 10417] 228
[10955, 10417] 434
[11356, 10417] 408
[12593, 10417] 388
[13107, 10417] 384
[16008, 10417] 348
[12670, 10417] 356
[11407, 10417] 408
[11087, 10417] 440
[15365, 10417] 346
[13420, 10417] 356
[14140, 10417] 214
[17207, 10417] 174
[15728, 10417] 368
[18089, 10417] 686
[17812, 10417] 486
[20006, 10417] 620
[18703, 10417] 506
[18458, 10417] 660
[19155, 10417] 610
[19039, 10417] 280
[20436, 10417] 522
[27386, 10417] 650
[21116, 10417] 638
[24352, 10417] 680
[23742, 10417] 678
[20848, 10417] 310
[23411, 10417] 436
[23994, 10417] 562
[27316, 10417] 726
[27411, 10417] 684
[27395, 10417] 688
[25182, 10417] 642
[25498, 10417] 714
[27376, 10417] 646
[24027, 10417] 586
[26039, 10417] 626
[23295, 10417] 540
[24131, 10417] 536
[20079, 10417] 334
[21061, 10417] 468
[20745, 10417] 520
[20627, 10417] 530
[21300, 10417] 498
[18954, 10417] 294
[19484, 10417] 316
[20156, 10417] 382
[28378, 10417] 746
[28619, 10417] 854
[30162, 10417] 956
[32062, 10417] 970
[30155, 10417] 958
[30329, 10417] 848
[32020, 10417] 870
[31998, 10417] 822
[32202, 10417] 966
[32746, 10417] 1422
[6205, 8236] 144
[6686, 8236] 152
[3527, 8236] 210
[8210, 8236] 74
[16230, 8236] 252
[8643, 8236] 70
[10955, 8236] 520
[11356, 8236] 494
[12593, 8236] 474
[13107, 8236] 470
[16008, 8236] 434
[12670, 8236] 442
[11407, 8236] 494
[11087, 8236] 526
[15365, 8236] 432
[13420, 8236] 442
[14140, 8236] 300
[17207, 8236] 260
[15728, 8236] 454
[18089, 8236] 628
[17812, 8236] 528
[20006, 8236] 662
[18703, 8236] 548
[18458, 8236] 630
[19155, 8236] 652
[19039, 8236] 366
[20436, 8236] 564
[27386, 8236] 736
[21116, 8236] 680
[24352, 8236] 722
[23742, 8236] 720
[20848, 8236] 396
[23411, 8236] 522
[23994, 8236] 648
[27316, 8236] 812
[27411, 8236] 770
[27395, 8236] 774
[25182, 8236] 728
[25498, 8236] 800
[27376, 8236] 732
[24027, 8236] 672
[26039, 8236] 712
[23295, 8236] 626
[24131, 8236] 622
[20079, 8236] 420
[21061, 8236] 554
[20745, 8236] 562
[20627, 8236] 572
[21300, 8236] 584
[18954, 8236] 380
[19484, 8236] 402
[20156, 8236] 468
[28378, 8236] 832
[28619, 8236] 896
[30162, 8236] 1042
[32062, 8236] 1056
[30155, 8236] 1044
[30329, 8236] 934
[32020, 8236] 956
[31998, 8236] 908
[32202, 8236] 1052
[32746, 8236] 1464
[6686, 6205] 52
[3527, 6205] 110
[8210, 6205] 130
[16230, 6205] 328
[8643, 6205] 146
[10955, 6205] 596
[11356, 6205] 570
[12593, 6205] 550
[13107, 6205] 546
[16008, 6205] 510
[12670, 6205] 518
[11407, 6205] 570
[11087, 6205] 602
[15365, 6205] 508
[13420, 6205] 518
[14140, 6205] 376
[17207, 6205] 336
[15728, 6205] 530
[18089, 6205] 740
[17812, 6205] 640
[20006, 6205] 774
[18703, 6205] 660
[18458, 6205] 742
[19155, 6205] 764
[19039, 6205] 442
[20436, 6205] 676
[27386, 6205] 812
[21116, 6205] 792
[24352, 6205] 834
[23742, 6205] 832
[20848, 6205] 472
[23411, 6205] 598
[23994, 6205] 724
[27316, 6205] 888
[27411, 6205] 846
[27395, 6205] 850
[25182, 6205] 804
[25498, 6205] 876
[27376, 6205] 808
[24027, 6205] 748
[26039, 6205] 788
[23295, 6205] 702
[24131, 6205] 698
[20079, 6205] 496
[21061, 6205] 630
[20745, 6205] 674
[20627, 6205] 684
[21300, 6205] 660
[18954, 6205] 456
[19484, 6205] 478
[20156, 6205] 544
[28378, 6205] 908
[28619, 6205] 1008
[30162, 6205] 1118
[32062, 6205] 1132
[30155, 6205] 1120
[30329, 6205] 1010
[32020, 6205] 1032
[31998, 6205] 984
[32202, 6205] 1128
[32746, 6205] 1576
[3527, 6686] 98
[8210, 6686] 138
[16230, 6686] 336
[8643, 6686] 154
[10955, 6686] 604
[11356, 6686] 578
[12593, 6686] 558
[13107, 6686] 554
[16008, 6686] 518
[12670, 6686] 526
[11407, 6686] 578
[11087, 6686] 610
[15365, 6686] 516
[13420, 6686] 526
[14140, 6686] 384
[17207, 6686] 344
[15728, 6686] 538
[18089, 6686] 748
[17812, 6686] 648
[20006, 6686] 782
[18703, 6686] 668
[18458, 6686] 750
[19155, 6686] 772
[19039, 6686] 450
[20436, 6686] 684
[27386, 6686] 820
[21116, 6686] 800
[24352, 6686] 842
[23742, 6686] 840
[20848, 6686] 480
[23411, 6686] 606
[23994, 6686] 732
[27316, 6686] 896
[27411, 6686] 854
[27395, 6686] 858
[25182, 6686] 812
[25498, 6686] 884
[27376, 6686] 816
[24027, 6686] 756
[26039, 6686] 796
[23295, 6686] 710
[24131, 6686] 706
[20079, 6686] 504
[21061, 6686] 638
[20745, 6686] 682
[20627, 6686] 692
[21300, 6686] 668
[18954, 6686] 464
[19484, 6686] 486
[20156, 6686] 552
[28378, 6686] 916
[28619, 6686] 1016
[30162, 6686] 1126
[32062, 6686] 1140
[30155, 6686] 1128
[30329, 6686] 1018
[32020, 6686] 1040
[31998, 6686] 992
[32202, 6686] 1136
[32746, 6686] 1584
[8210, 3527] 196
[16230, 3527] 394
[8643, 3527] 212
[10955, 3527] 662
[11356, 3527] 636
[12593, 3527] 616
[13107, 3527] 612
[16008, 3527] 576
[12670, 3527] 584
[11407, 3527] 636
[11087, 3527] 668
[15365, 3527] 574
[13420, 3527] 584
[14140, 3527] 442
[17207, 3527] 402
[15728, 3527] 596
[18089, 3527] 806
[17812, 3527] 706
[20006, 3527] 840
[18703, 3527] 726
[18458, 3527] 808
[19155, 3527] 830
[19039, 3527] 508
[20436, 3527] 742
[27386, 3527] 878
[21116, 3527] 858
[24352, 3527] 900
[23742, 3527] 898
[20848, 3527] 538
[23411, 3527] 664
[23994, 3527] 790
[27316, 3527] 954
[27411, 3527] 912
[27395, 3527] 916
[25182, 3527] 870
[25498, 3527] 942
[27376, 3527] 874
[24027, 3527] 814
[26039, 3527] 854
[23295, 3527] 768
[24131, 3527] 764
[20079, 3527] 562
[21061, 3527] 696
[20745, 3527] 740
[20627, 3527] 750
[21300, 3527] 726
[18954, 3527] 522
[19484, 3527] 544
[20156, 3527] 610
[28378, 3527] 974
[28619, 3527] 1074
[30162, 3527] 1184
[32062, 3527] 1198
[30155, 3527] 1186
[30329, 3527] 1076
[32020, 3527] 1098
[31998, 3527] 1050
[32202, 3527] 1194
[32746, 3527] 1642
[16230, 8210] 246
[8643, 8210] 64
[10955, 8210] 514
[11356, 8210] 488
[12593, 8210] 468
[13107, 8210] 464
[16008, 8210] 428
[12670, 8210] 436
[11407, 8210] 488
[11087, 8210] 520
[15365, 8210] 426
[13420, 8210] 436
[14140, 8210] 294
[17207, 8210] 254
[15728, 8210] 448
[18089, 8210] 670
[17812, 8210] 566
[20006, 8210] 700
[18703, 8210] 586
[18458, 8210] 672
[19155, 8210] 690
[19039, 8210] 360
[20436, 8210] 602
[27386, 8210] 730
[21116, 8210] 718
[24352, 8210] 760
[23742, 8210] 758
[20848, 8210] 390
[23411, 8210] 516
[23994, 8210] 642
[27316, 8210] 806
[27411, 8210] 764
[27395, 8210] 768
[25182, 8210] 722
[25498, 8210] 794
[27376, 8210] 726
[24027, 8210] 666
[26039, 8210] 706
[23295, 8210] 620
[24131, 8210] 616
[20079, 8210] 414
[21061, 8210] 548
[20745, 8210] 600
[20627, 8210] 610
[21300, 8210] 578
[18954, 8210] 374
[19484, 8210] 396
[20156, 8210] 462
[28378, 8210] 826
[28619, 8210] 934
[30162, 8210] 1036
[32062, 8210] 1050
[30155, 8210] 1038
[30329, 8210] 928
[32020, 8210] 950
[31998, 8210] 902
[32202, 8210] 1046
[32746, 8210] 1502
[8643, 16230] 222
[10955, 16230] 316
[11356, 16230] 290
[12593, 16230] 270
[13107, 16230] 266
[16008, 16230] 230
[12670, 16230] 238
[11407, 16230] 290
[11087, 16230] 322
[15365, 16230] 228
[13420, 16230] 238
[14140, 16230] 96
[17207, 16230] 32
[15728, 16230] 250
[18089, 16230] 548
[17812, 16230] 348
[20006, 16230] 482
[18703, 16230] 368
[18458, 16230] 522
[19155, 16230] 472
[19039, 16230] 142
[20436, 16230] 384
[27386, 16230] 512
[21116, 16230] 500
[24352, 16230] 542
[23742, 16230] 540
[20848, 16230] 172
[23411, 16230] 298
[23994, 16230] 424
[27316, 16230] 588
[27411, 16230] 546
[27395, 16230] 550
[25182, 16230] 504
[25498, 16230] 576
[27376, 16230] 508
[24027, 16230] 448
[26039, 16230] 488
[23295, 16230] 402
[24131, 16230] 398
[20079, 16230] 196
[21061, 16230] 330
[20745, 16230] 382
[20627, 16230] 392
[21300, 16230] 360
[18954, 16230] 156
[19484, 16230] 178
[20156, 16230] 244
[28378, 16230] 608
[28619, 16230] 716
[30162, 16230] 818
[32062, 16230] 832
[30155, 16230] 820
[30329, 16230] 710
[32020, 16230] 732
[31998, 16230] 684
[32202, 16230] 828
[32746, 16230] 1284
[10955, 8643] 490
[11356, 8643] 464
[12593, 8643] 444
[13107, 8643] 440
[16008, 8643] 404
[12670, 8643] 412
[11407, 8643] 464
[11087, 8643] 496
[15365, 8643] 402
[13420, 8643] 412
[14140, 8643] 270
[17207, 8643] 230
[15728, 8643] 424
[18089, 8643] 666
[17812, 8643] 542
[20006, 8643] 676
[18703, 8643] 562
[18458, 8643] 668
[19155, 8643] 666
[19039, 8643] 336
[20436, 8643] 578
[27386, 8643] 706
[21116, 8643] 694
[24352, 8643] 736
[23742, 8643] 734
[20848, 8643] 366
[23411, 8643] 492
[23994, 8643] 618
[27316, 8643] 782
[27411, 8643] 740
[27395, 8643] 744
[25182, 8643] 698
[25498, 8643] 770
[27376, 8643] 702
[24027, 8643] 642
[26039, 8643] 682
[23295, 8643] 596
[24131, 8643] 592
[20079, 8643] 390
[21061, 8643] 524
[20745, 8643] 576
[20627, 8643] 586
[21300, 8643] 554
[18954, 8643] 350
[19484, 8643] 372
[20156, 8643] 438
[28378, 8643] 802
[28619, 8643] 910
[30162, 8643] 1012
[32062, 8643] 1026
[30155, 8643] 1014
[30329, 8643] 904
[32020, 8643] 926
[31998, 8643] 878
[32202, 8643] 1022
[32746, 8643] 1478
[11356, 10955] 74
[12593, 10955] 118
[13107, 10955] 114
[16008, 10955] 130
[12670, 10955] 106
[11407, 10955] 74
[11087, 10955] 50
[15365, 10955] 128
[13420, 10955] 106
[14140, 10955] 232
[17207, 10955] 328
[15728, 10955] 134
[18089, 10955] 844
[17812, 10955] 644
[20006, 10955] 778
[18703, 10955] 664
[18458, 10955] 818
[19155, 10955] 768
[19039, 10955] 438
[20436, 10955] 680
[27386, 10955] 808
[21116, 10955] 796
[24352, 10955] 838
[23742, 10955] 836
[20848, 10955] 468
[23411, 10955] 594
[23994, 10955] 720
[27316, 10955] 884
[27411, 10955] 842
[27395, 10955] 846
[25182, 10955] 800
[25498, 10955] 872
[27376, 10955] 804
[24027, 10955] 744
[26039, 10955] 784
[23295, 10955] 698
[24131, 10955] 694
[20079, 10955] 492
[21061, 10955] 626
[20745, 10955] 678
[20627, 10955] 688
[21300, 10955] 656
[18954, 10955] 452
[19484, 10955] 474
[20156, 10955] 540
[28378, 10955] 904
[28619, 10955] 1012
[30162, 10955] 1114
[32062, 10955] 1128
[30155, 10955] 1116
[30329, 10955] 1006
[32020, 10955] 1028
[31998, 10955] 980
[32202, 10955] 1124
[32746, 10955] 1580
[12593, 11356] 88
[13107, 11356] 84
[16008, 11356] 104
[12670, 11356] 80
[11407, 11356] 48
[11087, 11356] 80
[15365, 11356] 102
[13420, 11356] 80
[14140, 11356] 206
[17207, 11356] 302
[15728, 11356] 104
[18089, 11356] 818
[17812, 11356] 618
[20006, 11356] 752
[18703, 11356] 638
[18458, 11356] 792
[19155, 11356] 742
[19039, 11356] 412
[20436, 11356] 654
[27386, 11356] 782
[21116, 11356] 770
[24352, 11356] 812
[23742, 11356] 810
[20848, 11356] 442
[23411, 11356] 568
[23994, 11356] 694
[27316, 11356] 858
[27411, 11356] 816
[27395, 11356] 820
[25182, 11356] 774
[25498, 11356] 846
[27376, 11356] 778
[24027, 11356] 718
[26039, 11356] 758
[23295, 11356] 672
[24131, 11356] 668
[20079, 11356] 466
[21061, 11356] 600
[20745, 11356] 652
[20627, 11356] 662
[21300, 11356] 630
[18954, 11356] 426
[19484, 11356] 448
[20156, 11356] 514
